t, X, Y, Z, V_X, V_Y, V_Z, traj_id
0.000000000000000000e+00,7.947521209716796875e-01,-6.745866298675537442e-02,1.578591041564941344e+00,1.015960345313631308e+01,1.891263823424814416e-01,-1.677988649679663435e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.052313995361327637e-01,-6.754928588867188666e-02,1.583495521545410067e+00,1.017847447969364794e+01,1.773466722311934363e-01,-1.640220293144198704e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.157234954833983975e-01,-6.765886783599853183e-02,1.588286132812499973e+00,1.019459550279587035e+01,1.659072879604628625e-01,-1.605438874548798855e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.262262725830078480e-01,-6.778710365295409490e-02,1.592960357666015847e+00,1.020837730544620570e+01,1.569991553621203073e-01,-1.572811345466851307e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.364287567138672941e-01,-6.792935848236084095e-02,1.597380523681640963e+00,1.021985269676285846e+01,1.523125343935284592e-01,-1.542569378261396285e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.469476318359373535e-01,-6.809445858001708651e-02,1.601806526184081925e+00,1.023002630130433843e+01,1.524718849191846748e-01,-1.511113838326322067e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.571632385253906694e-01,-6.827325820922851285e-02,1.605964279174804776e+00,1.023853593902169834e+01,1.582572180468159728e-01,-1.478978395222842357e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.676932525634764026e-01,-6.847763538360596147e-02,1.610084152221679776e+00,1.024611079644628830e+01,1.709958440838412197e-01,-1.443462829805941761e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.782269287109375488e-01,-6.870443820953368863e-02,1.613999977111816309e+00,1.025260126298379149e+01,1.934108858066815873e-01,-1.401596621263852871e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.884436798095702859e-01,-6.894714832305909313e-02,1.616740150451660085e+00,1.023376943132926087e+01,3.235713321078676485e-01,-1.235536055060900695e+00,0.000000000000000000e+00
0.000000000000000000e+00,8.989647674560548030e-01,-6.925126552581786776e-02,1.617399330139159597e+00,1.022328726867694648e+01,6.369186863834839230e-01,-1.467575308469001749e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.092427062988279740e-01,-6.971858024597167580e-02,1.618654518127441655e+00,1.023415159863801094e+01,1.155665007570797709e+00,-1.769913694311685104e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.196118927001951660e-01,-7.048455715179442749e-02,1.621499633789062145e+00,1.022779625584065322e+01,1.841129151800896313e+00,-1.964305944811143290e+00,0.000000000000000000e+00
0.000000000000000000e+00,9.300537872314452725e-01,-7.166356563568115901e-02,1.626162872314452779e+00,1.016415624279800234e+01,2.628731507454224126e+00,-2.101266788649024164e+00,0.000000000000000000e+00
